,noisy,pesq_wb,pesq_nb,apc-snr,stft_snr,time_sisnr_,stoi_score,pmsqe_score,time,mse,log_mse
0,clean_fileid_0_1-155858-C-25-2-50666-A-20_snr7_pitch_-0.8_fileid_6154.wav,3.071433544,3.410736799,3.687860012,3.797515631,3.786039352,0.979613606,0.336114466,0.304786682,0.081895441,5183.741211
1,clean_fileid_0_1-15689-A-4-3-151255-A-28_snr4_pitch_0.7_fileid_5991.wav,3.056360483,3.534560919,3.570554733,3.504402637,3.506617546,0.969062107,0.427697062,0.302060604,0.092418529,5298.945801
2,clean_fileid_0_1-16746-A-15-5-216370-B-41_snr2_pitch_-0.17_fileid_14052.wav,1.583333254,2.091305256,5.035183907,4.818183899,4.818710327,0.881856772,1.050061703,0.300737381,1.523458719,6310.961426
3,clean_fileid_0_1-17367-A-10-5-198411-E-20_snr0_pitch_0.66_fileid_500.wav,1.684538126,2.348019361,5.043802738,4.580833912,4.576784134,0.901100981,1.127964973,0.313942194,0.755388618,6878.214355
4,clean_fileid_0_1-17808-A-12-2-108767-B-9_snr4_pitch_0.13_fileid_8836.wav,2.627527952,3.266067505,4.12616539,4.031435013,4.028416634,0.959991584,0.670438826,0.323749065,0.572490931,5841.657715
5,clean_fileid_0_1-18527-B-44-5-243783-A-44_snr15_pitch_-0.83_fileid_7636.wav,3.547639847,3.86554265,3.660350323,3.761346102,3.767000675,0.985528025,0.444588959,0.316998243,0.504831493,5114.636719
6,clean_fileid_0_1-19898-A-41-2-118624-A-30_snr10_pitch_0.92_fileid_9999.wav,2.909171104,3.35529995,3.927910805,3.820703983,3.837364912,0.969839345,0.513634205,0.339347363,1.824175119,5525.288574
7,clean_fileid_0_1-211527-C-20-1-49409-B-8_snr25_pitch_0.14_fileid_3375.wav,3.99277091,4.161137104,3.450412512,3.496985435,3.491056204,0.990678882,0.170789212,0.297755718,0.65466845,5045.812988
8,clean_fileid_0_1-21189-A-10-1-7974-B-49_snr9_pitch_0.48_fileid_8943.wav,2.303167582,2.91087079,3.926502705,3.683264494,3.684436083,0.931581216,0.760725617,0.312323093,0.177639246,6074.390625
9,clean_fileid_0_1-27166-A-35-1-68628-A-27_snr-10_pitch_0.17_fileid_2007.wav,1.311416388,1.637022972,6.06861639,5.929818153,5.91403532,0.735041622,1.734375954,0.567718506,0.011094267,7504.994629
10,clean_fileid_0_1-28135-A-11-4-189838-A-22_snr11_pitch_-0.87_fileid_10967.wav,2.26206851,2.817325115,3.965517998,3.931025267,3.945152998,0.948126731,0.807255566,0.419134855,0.28647384,5997.242188
11,clean_fileid_0_1-34119-B-1-5-172639-A-5_snr27_pitch_-0.62_fileid_10118.wav,4.109173775,4.224206924,3.556693554,3.704259634,3.709806919,0.99168412,0.119862586,0.409270525,0.826299489,4681.414063
12,clean_fileid_0_1-38559-A-14-2-50774-A-23_snr8_pitch_-0.36_fileid_12931.wav,3.53739953,3.794085979,3.764899969,3.753332853,3.760619402,0.971901309,0.339388907,0.499487162,1.785359383,5302.362305
13,clean_fileid_0_1-39937-A-28-4-183882-A-28_snr-5_pitch_0.59_fileid_1149.wav,1.226240635,1.725627661,6.170452118,6.079375267,6.070699692,0.829283094,1.667422891,0.375802279,0.020075521,6853.892578
14,clean_fileid_0_1-40621-A-28-3-161010-A-43_snr-7_pitch_0.35_fileid_8683.wav,1.221995831,1.632974625,6.90566349,6.507538795,6.46457243,0.749509523,1.831464052,0.394420385,0.025035294,7331.13623
15,clean_fileid_0_1-40730-A-1-4-144083-B-16_snr14_pitch_0.4_fileid_575.wav,3.493354559,3.818740606,3.564322472,3.521982431,3.521426201,0.977922498,0.318398267,0.405546665,0.194997206,5023.393066
16,clean_fileid_0_1-4211-A-12-3-197435-A-22_snr13_pitch_0.8_fileid_4802.wav,3.41812706,3.818009615,3.54010582,3.479622841,3.484797001,0.981397347,0.395302147,0.333636045,0.24910526,5111.001465
17,clean_fileid_0_1-51805-A-33-4-181955-C-3_snr2_pitch_-0.55_fileid_8013.wav,2.084212542,2.938009977,4.276520252,4.18661499,4.192831993,0.941567264,0.763168335,0.343689442,0.182300225,6079.088867
18,clean_fileid_0_1-52290-A-30-1-51805-B-33_snr14_pitch_0.36_fileid_2858.wav,3.54544878,3.83360076,3.456307888,3.454517126,3.449603081,0.986425517,0.266138822,0.433251619,0.125582606,5053.862305
19,clean_fileid_0_1-52323-A-24-3-154926-B-40_snr21_pitch_0.5_fileid_3670.wav,3.534159184,3.864910603,3.478629827,3.48394537,3.479378462,0.983789482,0.265132755,0.465741873,0.412928849,5047.945801
20,clean_fileid_0_1-60997-A-20-2-102414-E-17_snr0_pitch_0.83_fileid_3392.wav,2.12236619,2.687543392,4.164754391,3.761143208,3.767390251,0.914133223,0.742862642,0.452042818,0.623498261,6491.193359
21,clean_fileid_0_1-64398-A-41-2-154688-A-31_snr-3_pitch_0.74_fileid_7797.wav,1.978113174,2.271553755,6.200563908,6.436572075,6.419820786,0.846302379,0.994374335,0.430002213,1.641426802,6021.376465
22,clean_fileid_0_1-64398-B-41-3-151081-B-20_snr12_pitch_-0.93_fileid_8353.wav,3.042905569,3.470741034,3.892006874,3.992299557,4.00801754,0.965186681,0.491845608,0.342540979,0.457839042,5354.649902
23,clean_fileid_0_1-977-A-39-5-248341-C-6_snr4_pitch_-0.23_fileid_6761.wav,2.686977863,3.061767101,3.860451937,3.853122711,3.862932682,0.941132979,0.41733247,0.366577625,0.225235775,5330.723633
24,clean_fileid_0_2-109371-A-16-3-136288-A-0_snr1_pitch_0.17_fileid_1884.wav,1.816616535,2.456924677,5.093192101,4.951933384,4.932678223,0.909397076,1.044360757,0.376852751,1.302010775,6050.032227
25,clean_fileid_0_2-114587-A-0-2-118964-A-0_snr12_pitch_0.04_fileid_13024.wav,3.105405807,3.358865023,3.729647398,3.70676899,3.695375919,0.96085946,0.319996417,0.613482237,0.765780389,5275.439453
26,clean_fileid_0_2-119748-A-38-3-146697-A-43_snr18_pitch_0.83_fileid_1165.wav,3.908193827,4.150614262,3.517344236,3.556310177,3.567726851,0.990137939,0.199325681,0.463370323,1.815874338,5108.248047
27,clean_fileid_0_2-120218-A-30-4-251645-B-49_snr-10_pitch_-0.72_fileid_6275.wav,1.404560089,1.846877337,5.532190323,5.558097363,5.553630829,0.849161862,1.231974959,0.43501997,0.015646184,6327.089844
