,noisy,pesq_wb,pesq_nb,apc-snr,stft_snr,time_sisnr_,stoi_score,pmsqe_score,time,mse,log_mse
0,clean_fileid_0_1-155858-C-25-2-50666-A-20_snr7_pitch_-0.8_fileid_6154.wav,2.91732192,3.272224426,-17.65154076,-20.0902729,-20.22122574,0.987721973,0.421549469,0.306937695,0.124931127,5097.494141
1,clean_fileid_0_1-15689-A-4-3-151255-A-28_snr4_pitch_0.7_fileid_5991.wav,2.786421776,3.339110136,-14.80103493,-17.07058907,-17.09912109,0.973803907,0.472522259,0.335218906,0.135545403,5313.766113
2,clean_fileid_0_1-16746-A-15-5-216370-B-41_snr2_pitch_-0.17_fileid_14052.wav,1.674787641,2.239899635,-6.977883339,-9.099372864,-9.113617897,0.888806844,1.063344479,0.307149887,2.136124611,6287.422852
3,clean_fileid_0_1-17367-A-10-5-198411-E-20_snr0_pitch_0.66_fileid_500.wav,1.634999037,2.213642359,-6.549331665,-10.45586014,-10.45254517,0.899302417,1.376196742,0.291528463,1.11300385,6917.311035
4,clean_fileid_0_1-17808-A-12-2-108767-B-9_snr4_pitch_0.13_fileid_8836.wav,2.570816278,3.252674341,-11.57646942,-14.91009712,-14.98062611,0.971038799,0.732286215,0.301473618,0.841996372,5713.609375
5,clean_fileid_0_1-18527-B-44-5-243783-A-44_snr15_pitch_-0.83_fileid_7636.wav,3.387378693,3.699901819,-17.61085129,-22.07679939,-22.13094711,0.994352587,0.412025243,0.301770449,0.733869195,5040.178223
6,clean_fileid_0_1-19898-A-41-2-118624-A-30_snr10_pitch_0.92_fileid_9999.wav,2.689905643,3.18614316,-11.29836845,-13.85164642,-13.88322449,0.975299817,0.54892385,0.306818962,2.644465446,5414.739746
7,clean_fileid_0_1-211527-C-20-1-49409-B-8_snr25_pitch_0.14_fileid_3375.wav,3.928477764,4.079421043,-23.09952927,-29.07564354,-29.18587494,0.997954281,0.20736286,0.308704138,0.955212176,4933.430176
8,clean_fileid_0_1-21189-A-10-1-7974-B-49_snr9_pitch_0.48_fileid_8943.wav,2.282847166,2.845921993,-10.96489716,-15.03276825,-15.03820992,0.938337594,0.881428838,0.303964853,0.262525767,6044.784668
9,clean_fileid_0_1-27166-A-35-1-68628-A-27_snr-10_pitch_0.17_fileid_2007.wav,1.239522576,1.587109089,-3.372229099,-3.878638506,-3.85902977,0.73460615,2.112970591,0.289232969,0.016439928,7138.423828
10,clean_fileid_0_1-28135-A-11-4-189838-A-22_snr11_pitch_-0.87_fileid_10967.wav,2.146323204,2.675637484,-10.69316959,-14.45592403,-14.45851707,0.956934784,0.956939578,0.296323776,0.428801805,6124.872559
11,clean_fileid_0_1-34119-B-1-5-172639-A-5_snr27_pitch_-0.62_fileid_10118.wav,4.111076355,4.206546783,-23.7949543,-28.43419075,-28.42615318,0.99808254,0.10603983,0.298758507,1.203588009,4538.474609
12,clean_fileid_0_1-38559-A-14-2-50774-A-23_snr8_pitch_-0.36_fileid_12931.wav,3.426523685,3.682518721,-14.98515701,-19.08491325,-19.97374725,0.982699099,0.365066022,0.303862572,2.5922997,5214.88623
13,clean_fileid_0_1-39937-A-28-4-183882-A-28_snr-5_pitch_0.59_fileid_1149.wav,1.293158889,1.899347544,-3.320192337,-3.743972301,-3.799022675,0.839597771,1.824983239,0.292196751,0.029208183,6416.815918
14,clean_fileid_0_1-40621-A-28-3-161010-A-43_snr-7_pitch_0.35_fileid_8683.wav,1.230599999,1.709975243,-2.053242207,-2.972866297,-3.018628597,0.765492554,2.06902647,0.302320242,0.036530428,6813.299805
15,clean_fileid_0_1-40730-A-1-4-144083-B-16_snr14_pitch_0.4_fileid_575.wav,3.286634922,3.664837837,-16.83467102,-20.18455887,-20.20940018,0.986868687,0.351870775,0.295931339,0.288376033,4753.17041
16,clean_fileid_0_1-4211-A-12-3-197435-A-22_snr13_pitch_0.8_fileid_4802.wav,3.474053144,3.748071194,-16.91469383,-20.01821899,-20.02291489,0.991519524,0.330144525,0.304335833,0.361413002,4938.974121
17,clean_fileid_0_1-51805-A-33-4-181955-C-3_snr2_pitch_-0.55_fileid_8013.wav,2.274365425,2.954037905,-10.75514603,-13.33701134,-13.33083153,0.954595187,0.851617873,0.304187059,0.281821162,5695.178223
