,noisy,pesq_wb,pesq_nb,apc-snr,stft_snr,time_sisnr_,stoi_score,pmsqe_score,time,mse,log_mse
0,clean_fileid_0_1-155858-C-25-2-50666-A-20_snr7_pitch_-0.8_fileid_6154.wav,2.804129601,3.29816699,-16.84814262,-19.35235786,-19.4677124,0.980220438,0.553792775,0.382000446,0.000363928,5311.728516
1,clean_fileid_0_1-15689-A-4-3-151255-A-28_snr4_pitch_0.7_fileid_5991.wav,2.654467583,3.243888855,-14.71060848,-17.61616325,-17.66928101,0.964346063,0.658593357,0.340955734,0.000583366,5632.456543
2,clean_fileid_0_1-16746-A-15-5-216370-B-41_snr2_pitch_-0.17_fileid_14052.wav,1.613263607,2.138973236,-6.905982971,-9.541006088,-9.56171608,0.885743867,1.124243498,0.359044313,0.059969541,6332.140625
3,clean_fileid_0_1-17367-A-10-5-198411-E-20_snr0_pitch_0.66_fileid_500.wav,1.573340416,2.119929314,-6.34143734,-10.41641617,-10.40143776,0.88846168,1.512871623,0.332092762,0.025306027,7122.793457
4,clean_fileid_0_1-17808-A-12-2-108767-B-9_snr4_pitch_0.13_fileid_8836.wav,2.378898859,3.064185858,-10.93969345,-14.25372219,-14.3053112,0.961830628,0.844504178,0.337100744,0.007859026,5959.177246
5,clean_fileid_0_1-18527-B-44-5-243783-A-44_snr15_pitch_-0.83_fileid_7636.wav,3.264887094,3.666304588,-17.23966789,-21.88070107,-21.93958664,0.992893325,0.452758402,0.320147038,0.001192154,5119.122559
6,clean_fileid_0_1-19898-A-41-2-118624-A-30_snr10_pitch_0.92_fileid_9999.wav,2.814523935,3.2525599,-10.94192314,-13.70139885,-13.68367004,0.974376654,0.589406013,0.296234846,0.02802318,5667.877441
7,clean_fileid_0_1-211527-C-20-1-49409-B-8_snr25_pitch_0.14_fileid_3375.wav,3.684418917,3.911806345,-21.77417755,-27.83867073,-27.9786396,0.995879628,0.294014394,0.370980501,0.000393969,5133.396973
8,clean_fileid_0_1-21189-A-10-1-7974-B-49_snr9_pitch_0.48_fileid_8943.wav,2.18160677,2.706570387,-10.74717426,-14.78463364,-14.78717899,0.932681343,0.949941695,0.280078888,0.002177706,6277.214844
9,clean_fileid_0_1-27166-A-35-1-68628-A-27_snr-10_pitch_0.17_fileid_2007.wav,1.19655323,1.479301691,-2.85535717,-3.383581638,-3.38021636,0.718398601,2.339941263,0.27725935,0.001728837,7322.812012
10,clean_fileid_0_1-28135-A-11-4-189838-A-22_snr11_pitch_-0.87_fileid_10967.wav,2.086014271,2.614537954,-10.54430389,-14.5465107,-14.57489967,0.954197386,1.015044093,0.282119751,0.003777031,6390.379883
11,clean_fileid_0_1-34119-B-1-5-172639-A-5_snr27_pitch_-0.62_fileid_10118.wav,3.962839127,4.099953651,-23.05244064,-28.2460556,-28.21497917,0.997101759,0.16901651,0.293224335,0.000452115,4737.620605
12,clean_fileid_0_1-38559-A-14-2-50774-A-23_snr8_pitch_-0.36_fileid_12931.wav,3.213527918,3.516358376,-13.55801201,-16.74258804,-17.9064312,0.978962334,0.503605247,0.298213959,0.013593659,5432.521973
13,clean_fileid_0_1-39937-A-28-4-183882-A-28_snr-5_pitch_0.59_fileid_1149.wav,1.263962984,1.880891323,-2.220992327,-2.466097116,-2.510503292,0.836805277,2.015791655,0.286236763,0.003480639,6825.88623
14,clean_fileid_0_1-40621-A-28-3-161010-A-43_snr-7_pitch_0.35_fileid_8683.wav,1.189855337,1.585280418,-1.397756338,-2.227026939,-2.27406168,0.753728183,2.140864849,0.305151463,0.004719868,6954.356934
15,clean_fileid_0_1-40730-A-1-4-144083-B-16_snr14_pitch_0.4_fileid_575.wav,3.221065998,3.590770721,-16.27658272,-19.74193573,-19.76931572,0.983562758,0.410947472,0.282245636,0.000765952,5023.932129
