,noisy,pesq_wb,pesq_nb,apc-snr,stft_snr,time_sisnr_,stoi_score,pmsqe_score,time,mse,log_mse
0,clean_fileid_0_1-155858-C-25-2-50666-A-20_snr7_pitch_-0.8_fileid_6154.wav,2.941648245,3.345874071,-17.37361145,-19.66047287,-19.8429451,0.98769461,0.373027861,0.333123446,0.124506615,5038.639648
1,clean_fileid_0_1-15689-A-4-3-151255-A-28_snr4_pitch_0.7_fileid_5991.wav,2.91921401,3.400239229,-15.6359539,-18.49330139,-18.58139229,0.974652507,0.467290521,0.39394927,0.135164335,5236.833496
2,clean_fileid_0_1-16746-A-15-5-216370-B-41_snr2_pitch_-0.17_fileid_14052.wav,1.631781459,2.080820084,-6.847956657,-8.984971046,-9.001969337,0.884646308,1.02860558,0.334145546,2.142643929,6340.595703
3,clean_fileid_0_1-17367-A-10-5-198411-E-20_snr0_pitch_0.66_fileid_500.wav,1.676469922,2.286799669,-6.33215332,-9.788066864,-9.786263466,0.904067041,1.279832006,0.38197875,1.09424305,6756.208984
4,clean_fileid_0_1-17808-A-12-2-108767-B-9_snr4_pitch_0.13_fileid_8836.wav,2.634852409,3.346976995,-11.26881695,-14.5812664,-14.66562653,0.970913675,0.700022638,0.29620862,0.838286579,5654.349121
5,clean_fileid_0_1-18527-B-44-5-243783-A-44_snr15_pitch_-0.83_fileid_7636.wav,3.421171904,3.737264872,-15.82337856,-20.27365875,-20.31829453,0.994166327,0.463922709,0.291223049,0.734621525,4932.268066
6,clean_fileid_0_1-19898-A-41-2-118624-A-30_snr10_pitch_0.92_fileid_9999.wav,2.68749547,3.196452856,-11.31090546,-14.04709435,-14.08278465,0.97641449,0.526207089,0.350073576,2.646793842,5359.782227
7,clean_fileid_0_1-211527-C-20-1-49409-B-8_snr25_pitch_0.14_fileid_3375.wav,3.938823223,4.068444729,-22.99898338,-28.98767853,-29.08104706,0.997874986,0.175340593,0.332191467,0.954296231,4891.833008
8,clean_fileid_0_1-21189-A-10-1-7974-B-49_snr9_pitch_0.48_fileid_8943.wav,2.370508194,2.808363199,-10.96212578,-14.95465088,-14.96076775,0.940202202,0.782334268,0.337099075,0.262053251,5732.02002
9,clean_fileid_0_1-27166-A-35-1-68628-A-27_snr-10_pitch_0.17_fileid_2007.wav,1.266136885,1.619074345,-3.415294647,-3.920049667,-3.894831657,0.741389683,1.839853764,0.315159082,0.016610203,7152.991211
10,clean_fileid_0_1-28135-A-11-4-189838-A-22_snr11_pitch_-0.87_fileid_10967.wav,2.245953083,2.863413095,-10.61259079,-14.12321568,-14.11945438,0.959744233,0.847030163,0.297224045,0.429378808,5838.068848
11,clean_fileid_0_1-34119-B-1-5-172639-A-5_snr27_pitch_-0.62_fileid_10118.wav,4.100886345,4.231291771,-23.70388412,-28.39283371,-28.39635658,0.997489809,0.099670216,0.286217451,1.201853395,4502.666992
12,clean_fileid_0_1-38559-A-14-2-50774-A-23_snr8_pitch_-0.36_fileid_12931.wav,3.476032257,3.692589521,-15.69872856,-21.40047073,-21.5802784,0.984875004,0.321109265,0.293217421,2.582327843,5174.938965
13,clean_fileid_0_1-39937-A-28-4-183882-A-28_snr-5_pitch_0.59_fileid_1149.wav,1.240590811,1.700661421,-2.884891987,-3.04288435,-3.067555904,0.834839008,1.753149629,0.316202402,0.028755451,6428.066895
