,noisy,pesq_wb,pesq_nb,apc-snr,stft_snr,time_sisnr_,stoi_score,pmsqe_score,time,mse,log_mse
0,clean_fileid_0_1-155858-C-25-2-50666-A-20_snr7_pitch_-0.8_fileid_6154.wav,2.877755642,3.323973894,5.072859764,4.999527454,4.951521397,0.975897144,0.506219923,0.353303194,0.088350996,4990.964844
1,clean_fileid_0_1-15689-A-4-3-151255-A-28_snr4_pitch_0.7_fileid_5991.wav,2.642840147,3.151000023,5.88507843,6.353123665,6.376674175,0.962968377,0.586735249,0.296782017,0.092164926,5229.39502
2,clean_fileid_0_1-16746-A-15-5-216370-B-41_snr2_pitch_-0.17_fileid_14052.wav,1.504393339,2.012552738,6.533725262,6.158833981,6.157923222,0.861597138,1.105278969,0.352016449,1.520388961,6409.714355
3,clean_fileid_0_1-17367-A-10-5-198411-E-20_snr0_pitch_0.66_fileid_500.wav,1.625726819,2.151525736,6.707723141,6.253515244,6.251953125,0.872210087,1.450433016,0.428679943,0.759902894,6214.571289
4,clean_fileid_0_1-17808-A-12-2-108767-B-9_snr4_pitch_0.13_fileid_8836.wav,2.398814678,2.994879961,6.111835957,6.045571327,6.035385132,0.959766613,1.066567421,0.353607416,0.57879889,5561.28125
5,clean_fileid_0_1-18527-B-44-5-243783-A-44_snr15_pitch_-0.83_fileid_7636.wav,3.108203888,3.479978323,5.301235199,5.123946667,5.108985424,0.985458657,0.59733367,0.454684258,0.515104949,5058.59082
6,clean_fileid_0_1-19898-A-41-2-118624-A-30_snr10_pitch_0.92_fileid_9999.wav,2.529393435,3.090345144,6.151337147,6.231896877,6.247665405,0.95877248,0.645661175,0.457151651,1.784928441,5335.865234
7,clean_fileid_0_1-211527-C-20-1-49409-B-8_snr25_pitch_0.14_fileid_3375.wav,3.59518981,3.882716417,5.614864349,5.960350037,5.971577644,0.987029704,0.288483649,0.439167976,0.651952922,4901.762207
8,clean_fileid_0_1-21189-A-10-1-7974-B-49_snr9_pitch_0.48_fileid_8943.wav,2.175804377,2.745947599,5.745972633,5.920455456,5.927977085,0.926948165,0.904305279,0.412791014,0.177880198,5624.178223
9,clean_fileid_0_1-27166-A-35-1-68628-A-27_snr-10_pitch_0.17_fileid_2007.wav,1.232226253,1.526043415,8.168627739,8.307682991,8.337146759,0.682304831,1.933066249,0.376270771,0.010887939,6607.614258
10,clean_fileid_0_1-28135-A-11-4-189838-A-22_snr11_pitch_-0.87_fileid_10967.wav,2.195414066,2.670897961,5.307360172,4.931949615,4.912546158,0.945675255,0.934685767,0.368994236,0.305789858,5564.171387
11,clean_fileid_0_1-34119-B-1-5-172639-A-5_snr27_pitch_-0.62_fileid_10118.wav,3.661812782,3.973837137,5.307929039,5.323889256,5.317596436,0.988617727,0.189783588,0.357013941,0.842940271,4591.23584
