,noisy,pesq_wb,pesq_nb,apc-snr,stft_snr,time_sisnr_,stoi_score,pmsqe_score,time,mse,log_mse
0,clean_fileid_0_1-155858-C-25-2-50666-A-20_snr7_pitch_-0.8_fileid_6154.wav,2.986413002,3.376484632,-17.52771378,-20.145998,-20.21065712,0.985004611,0.456596822,0.42748332,0.124504551,5167.581543
1,clean_fileid_0_1-15689-A-4-3-151255-A-28_snr4_pitch_0.7_fileid_5991.wav,2.893027544,3.440205097,-14.88803673,-17.73461914,-17.79698372,0.969236179,0.543948948,0.474361181,0.134959787,5392.299805
2,clean_fileid_0_1-16746-A-15-5-216370-B-41_snr2_pitch_-0.17_fileid_14052.wav,1.676133871,2.247038126,-6.632352352,-9.1983881,-9.178529739,0.901615398,1.113497019,0.453352451,2.243308306,6172.372559
3,clean_fileid_0_1-17367-A-10-5-198411-E-20_snr0_pitch_0.66_fileid_500.wav,1.649243832,2.28138566,-6.288034439,-10.51743698,-10.54695702,0.896944498,1.468288422,0.463715792,1.122740388,6870.678223
4,clean_fileid_0_1-17808-A-12-2-108767-B-9_snr4_pitch_0.13_fileid_8836.wav,2.564431667,3.193107367,-11.29797745,-14.80671883,-14.90483761,0.966955,0.770780206,0.399971247,0.841329277,5820.505371
5,clean_fileid_0_1-18527-B-44-5-243783-A-44_snr15_pitch_-0.83_fileid_7636.wav,3.236687183,3.638022184,-17.18010139,-21.73398781,-21.81858063,0.993018056,0.483139902,0.392769098,0.732732952,5068.730957
6,clean_fileid_0_1-19898-A-41-2-118624-A-30_snr10_pitch_0.92_fileid_9999.wav,2.818921566,3.21950078,-10.93753052,-13.73417091,-13.75114822,0.976167628,0.581476271,0.503123283,2.672394514,5625.530273
7,clean_fileid_0_1-211527-C-20-1-49409-B-8_snr25_pitch_0.14_fileid_3375.wav,3.800966501,4.006609917,-22.29069901,-28.34117889,-28.43106461,0.996114604,0.252616465,0.566572428,0.954111457,5033.970703
8,clean_fileid_0_1-21189-A-10-1-7974-B-49_snr9_pitch_0.48_fileid_8943.wav,2.296285629,2.809522629,-10.78277111,-14.88568783,-14.89770508,0.93371467,0.929186702,0.465364456,0.262491763,6156.363281
9,clean_fileid_0_1-27166-A-35-1-68628-A-27_snr-10_pitch_0.17_fileid_2007.wav,1.231225491,1.644827604,-2.736260653,-3.262856245,-3.249705315,0.719734918,2.188230038,0.45472765,0.016070113,6858.871094
10,clean_fileid_0_1-28135-A-11-4-189838-A-22_snr11_pitch_-0.87_fileid_10967.wav,2.080979109,2.579182148,-10.537817,-14.44815159,-14.48731041,0.955829425,1.042990088,0.476289988,0.430614978,6344.879883
11,clean_fileid_0_1-34119-B-1-5-172639-A-5_snr27_pitch_-0.62_fileid_10118.wav,4.056479454,4.202718258,-23.5493927,-28.61102676,-28.60257912,0.997358805,0.134904459,0.452768564,1.204359531,4665.151367
12,clean_fileid_0_1-38559-A-14-2-50774-A-23_snr8_pitch_-0.36_fileid_12931.wav,3.357155323,3.55594635,-15.15305614,-21.36865425,-21.51740837,0.981085068,0.398070693,0.444030762,2.587900162,5351.790527
13,clean_fileid_0_1-39937-A-28-4-183882-A-28_snr-5_pitch_0.59_fileid_1149.wav,1.243715286,1.82355094,-3.02952528,-3.337398767,-3.378825426,0.842249073,1.974182367,0.380317688,0.029614327,6602.824219
14,clean_fileid_0_1-40621-A-28-3-161010-A-43_snr-7_pitch_0.35_fileid_8683.wav,1.196450353,1.659306407,-1.753735542,-2.681790352,-2.742499352,0.759564441,2.093751669,0.354970217,0.038120396,6836.320801
15,clean_fileid_0_1-40730-A-1-4-144083-B-16_snr14_pitch_0.4_fileid_575.wav,3.231323242,3.624760389,-16.64600754,-20.05791855,-20.10219955,0.985224606,0.379452109,0.400091887,0.288553387,4873.778809
16,clean_fileid_0_1-4211-A-12-3-197435-A-22_snr13_pitch_0.8_fileid_4802.wav,3.362090588,3.73572278,-16.5176239,-19.87800217,-19.9006691,0.98730757,0.382905096,0.396765947,0.361160696,5050.287598
17,clean_fileid_0_1-51805-A-33-4-181955-C-3_snr2_pitch_-0.55_fileid_8013.wav,2.154186964,2.758927584,-10.45341492,-13.4173727,-13.45391846,0.952282246,0.909965515,0.370155096,0.281868339,5841.265137
18,clean_fileid_0_1-52290-A-30-1-51805-B-33_snr14_pitch_0.36_fileid_2858.wav,3.367309809,3.674937248,-19.43667793,-22.51359749,-22.56178856,0.991905148,0.353318036,0.375009298,0.183400139,4987.245605
19,clean_fileid_0_1-52323-A-24-3-154926-B-40_snr21_pitch_0.5_fileid_3670.wav,3.565989017,3.805197954,-19.11325836,-22.96644402,-23.00396919,0.992957696,0.301356435,0.378168106,0.598300755,4888.059082
20,clean_fileid_0_1-60997-A-20-2-102414-E-17_snr0_pitch_0.83_fileid_3392.wav,2.010774851,2.5413692,-8.865515709,-13.29099083,-13.34761524,0.908838418,0.978626251,0.375645161,0.925640881,6442.425781
21,clean_fileid_0_1-64398-A-41-2-154688-A-31_snr-3_pitch_0.74_fileid_7797.wav,1.674267292,2.207752228,0.818652809,1.608545899,1.620098591,0.827385969,1.264116287,0.400789738,2.700643063,6243.834473
22,clean_fileid_0_1-64398-B-41-3-151081-B-20_snr12_pitch_-0.93_fileid_8353.wav,2.948042154,3.424906015,-13.20729828,-16.09500694,-16.11476517,0.97620438,0.59802556,0.489432812,0.698139906,5416.720703
23,clean_fileid_0_1-977-A-39-5-248341-C-6_snr4_pitch_-0.23_fileid_6761.wav,2.536094427,2.879924774,-12.02489376,-15.24675846,-15.28449821,0.937744967,0.579896748,0.366982222,0.336839914,5360.93457
24,clean_fileid_0_2-109371-A-16-3-136288-A-0_snr1_pitch_0.17_fileid_1884.wav,1.784489632,2.435059547,-6.541295528,-9.171729088,-9.203146935,0.912441482,1.211065292,0.429540634,1.983809948,5793.210449
25,clean_fileid_0_2-114587-A-0-2-118964-A-0_snr12_pitch_0.04_fileid_13024.wav,3.03650403,3.307116508,-14.21901512,-18.9725666,-18.97434235,0.969404427,0.369414002,0.379626513,1.125293732,4991.932129
