,noisy,pesq_wb,pesq_nb,apc-snr,stft_snr,time_sisnr_,stoi_score,pmsqe_score,time,mse,log_mse
0,clean_fileid_0_1-155858-C-25-2-50666-A-20_snr7_pitch_-0.8_fileid_6154.wav,2.291102409,2.697966576,11.12697029,11.59662151,11.53079033,0.96846544,0.965363204,0.376993656,0.080718279,6146.669922
1,clean_fileid_0_1-15689-A-4-3-151255-A-28_snr4_pitch_0.7_fileid_5991.wav,1.866555929,2.509734154,11.59417152,12.13935089,12.16422462,0.958554603,1.116584659,0.289227962,0.091534317,6626.491699
2,clean_fileid_0_1-16746-A-15-5-216370-B-41_snr2_pitch_-0.17_fileid_14052.wav,1.363790751,2.066607475,14.17461586,13.96676922,14.00915909,0.879466224,1.677255273,0.301156282,1.614318967,9017.821289
3,clean_fileid_0_1-17367-A-10-5-198411-E-20_snr0_pitch_0.66_fileid_500.wav,1.204215288,1.525819063,14.17399597,14.42365837,14.38824463,0.84502761,2.648567677,0.299201012,0.874993563,8391.392578
4,clean_fileid_0_1-17808-A-12-2-108767-B-9_snr4_pitch_0.13_fileid_8836.wav,1.778305292,2.413190126,12.36944199,13.09278679,13.04028893,0.953374004,1.8016994,0.299186945,0.568214953,6589.950195
5,clean_fileid_0_1-18527-B-44-5-243783-A-44_snr15_pitch_-0.83_fileid_7636.wav,3.025863171,3.262816906,11.40904045,12.1761694,12.17760181,0.989388652,0.939792871,0.299189568,0.459842652,6323.458984
6,clean_fileid_0_1-19898-A-41-2-118624-A-30_snr10_pitch_0.92_fileid_9999.wav,2.322585106,2.814026594,12.23096085,12.91619205,12.90874004,0.964980138,1.019800901,0.292218924,1.715095878,6719.240234
7,clean_fileid_0_1-211527-C-20-1-49409-B-8_snr25_pitch_0.14_fileid_3375.wav,3.382257938,3.640565157,11.30992508,12.15730572,12.16179657,0.992304595,0.549495876,0.290240765,0.58929044,6411.623535
8,clean_fileid_0_1-21189-A-10-1-7974-B-49_snr9_pitch_0.48_fileid_8943.wav,1.760661006,2.260659456,11.58399487,11.88794136,11.89551163,0.929154933,1.654839993,0.285237551,0.169069439,7133.459961
9,clean_fileid_0_1-27166-A-35-1-68628-A-27_snr-10_pitch_0.17_fileid_2007.wav,1.08720386,1.380454779,15.40202141,15.71065998,15.78371143,0.729603732,2.670115232,0.289269447,0.021522356,8965.259766
10,clean_fileid_0_1-28135-A-11-4-189838-A-22_snr11_pitch_-0.87_fileid_10967.wav,1.782066822,2.134890079,11.54578781,12.09050655,12.11162376,0.946187176,1.670680642,0.301178932,0.278143167,6995.842285
11,clean_fileid_0_1-34119-B-1-5-172639-A-5_snr27_pitch_-0.62_fileid_10118.wav,3.763985634,3.922376871,11.35558319,12.17238426,12.1729126,0.993101531,0.317353457,0.292218208,0.744298041,6028.161621
12,clean_fileid_0_1-38559-A-14-2-50774-A-23_snr8_pitch_-0.36_fileid_12931.wav,2.608249903,3.003155708,12.0784235,12.74878693,12.72108459,0.972591617,0.960635424,0.295167923,1.622983098,6666.803223
13,clean_fileid_0_1-39937-A-28-4-183882-A-28_snr-5_pitch_0.59_fileid_1149.wav,1.147927403,1.692308664,15.0100708,16.67874908,16.81302071,0.820621358,2.700454712,0.286204338,0.049020045,7535.603027
14,clean_fileid_0_1-40621-A-28-3-161010-A-43_snr-7_pitch_0.35_fileid_8683.wav,1.097555995,1.471668959,16.93588638,18.51116371,18.38388824,0.747023813,2.686094999,0.291235924,0.070309736,8814.462891
15,clean_fileid_0_1-40730-A-1-4-144083-B-16_snr14_pitch_0.4_fileid_575.wav,2.80565691,3.234103203,11.19858837,11.79214001,11.79889107,0.980167187,0.700491965,0.283253193,0.181862786,6322.578613
16,clean_fileid_0_1-4211-A-12-3-197435-A-22_snr13_pitch_0.8_fileid_4802.wav,2.447940111,3.031204939,11.33259201,11.90696335,11.91067123,0.978988822,0.91388464,0.290216208,0.229229093,6383.333008
17,clean_fileid_0_1-51805-A-33-4-181955-C-3_snr2_pitch_-0.55_fileid_8013.wav,1.366847754,1.969416022,12.34007359,12.77562332,12.76692581,0.905483443,1.942163706,0.285264254,0.201637447,7259.452148
18,clean_fileid_0_1-52290-A-30-1-51805-B-33_snr14_pitch_0.36_fileid_2858.wav,2.855321646,3.271355391,11.02181625,11.55752945,11.56301022,0.977273819,0.72700882,0.294213772,0.11525169,6325.308594
19,clean_fileid_0_1-52323-A-24-3-154926-B-40_snr21_pitch_0.5_fileid_3670.wav,3.522302151,3.711865664,11.28335381,12.04881668,12.03785706,0.989723176,0.475532472,0.296208858,0.371588558,6375.98291
20,clean_fileid_0_1-60997-A-20-2-102414-E-17_snr0_pitch_0.83_fileid_3392.wav,1.371360064,1.95552814,12.90977669,13.16376591,13.1973629,0.888581625,1.764425993,0.299922228,0.655852139,7676.012695
21,clean_fileid_0_1-64398-A-41-2-154688-A-31_snr-3_pitch_0.74_fileid_7797.wav,1.622056484,2.279292107,16.27171135,17.21331406,17.16819954,0.835593368,1.462406993,0.327892065,2.395195246,7755.366211
22,clean_fileid_0_1-64398-B-41-3-151081-B-20_snr12_pitch_-0.93_fileid_8353.wav,2.374514341,2.800709963,11.56531143,12.27408409,12.29418564,0.964435603,1.040391445,0.293202639,0.445947617,6261.351074
23,clean_fileid_0_1-977-A-39-5-248341-C-6_snr4_pitch_-0.23_fileid_6761.wav,1.586623669,1.891845465,12.04520988,12.52158737,12.54306698,0.905992814,1.140039802,0.289227486,0.223837018,6792.62793
24,clean_fileid_0_2-109371-A-16-3-136288-A-0_snr1_pitch_0.17_fileid_1884.wav,1.419638157,1.970408678,13.78361893,14.42978382,14.34528255,0.88938426,2.10455966,0.296210051,1.485532165,6956.560059
25,clean_fileid_0_2-114587-A-0-2-118964-A-0_snr12_pitch_0.04_fileid_13024.wav,2.433554411,2.773427486,11.65751266,12.34637642,12.35767269,0.956755028,0.680345714,0.300228834,0.707231402,6411.066406
26,clean_fileid_0_2-119748-A-38-3-146697-A-43_snr18_pitch_0.83_fileid_1165.wav,3.698392391,3.990844965,11.72250366,12.46960735,12.4767313,0.993348301,0.502966523,0.285224915,1.595401406,6436.069824
27,clean_fileid_0_2-120218-A-30-4-251645-B-49_snr-10_pitch_-0.72_fileid_6275.wav,1.160530329,1.461815715,16.04110527,19.48060799,19.26318169,0.688836093,2.667737007,0.280258179,0.060287785,8335.179688
28,clean_fileid_0_2-121909-A-35-1-72695-A-26_snr12_pitch_-0.81_fileid_443.wav,2.382287979,3.188881397,11.98239422,12.81215763,12.82878017,0.981304696,0.738465428,0.292218685,1.590800643,6486.131836
29,clean_fileid_0_2-122763-B-29-1-18631-A-23_snr17_pitch_0.43_fileid_4334.wav,3.116313457,3.505138636,11.70159245,12.52004528,12.50900841,0.984890024,0.4616687,0.295177937,1.157561541,6516.59082
30,clean_fileid_0_2-135649-A-45-3-136288-A-0_snr2_pitch_0.03_fileid_14296.wav,1.285709977,1.833682418,13.75194645,14.26540184,14.39007759,0.873688944,2.203857899,0.290223122,1.796762824,7274.103027
31,clean_fileid_0_2-141563-A-39-4-167571-A-26_snr12_pitch_-0.55_fileid_1244.wav,2.51565671,3.047056675,11.15731049,11.59835815,11.59890652,0.961245197,0.894259155,0.28918457,0.113194078,6258.92334
32,clean_fileid_0_2-155801-A-11-3-149042-A-24_snr28_pitch_-0.67_fileid_9016.wav,3.683053493,3.793799877,11.77089882,12.61262989,12.62708473,0.994854174,0.395991743,0.29521203,1.590096235,6155.330566
33,clean_fileid_0_2-52001-B-28-1-47819-C-5_snr-5_pitch_0.07_fileid_5203.wav,1.167094588,1.648446321,14.22407532,17.07936096,17.04246712,0.849984658,2.578399897,0.290224075,0.047378086,7218.92627
34,clean_fileid_0_2-54086-A-43-2-118104-A-21_snr13_pitch_-0.7_fileid_5499.wav,3.199979067,3.509480715,11.89433956,12.58845139,12.59456158,0.981179328,0.563298106,0.29022336,1.647416115,6644.200195
