,noisy,pesq_wb,apc-snr,stft_snr,time_sisnr_,stoi_score,pmsqe_score,mse,apc-mse,stft_diff,snr,log_mse,time
0,clean_fileid_0_1-155858-C-25-2-50666-A-20_snr7_pitch_-0.8_fileid_6154.wav,2.357618332,-15.56007957,-18.1448288,-18.40012741,0.97041799,0.702857971,0.000478814,0.000349663,0.062087785,7,5472.413086,0.15358901
1,clean_fileid_0_1-15689-A-4-3-151255-A-28_snr4_pitch_0.7_fileid_5991.wav,2.634064674,-14.42190933,-17.26644135,-17.48851585,0.953931603,0.615104675,0.000634929,0.000483275,0.067074306,4,5624.926758,0.153589725
2,clean_fileid_0_1-16746-A-15-5-216370-B-41_snr2_pitch_-0.17_fileid_14052.wav,1.598695397,-6.088103294,-8.295632362,-8.427175522,0.869030013,1.188660741,0.077346653,0.016693208,0.12962088,2,6424.535645,0.142625332
3,clean_fileid_0_1-17367-A-10-5-198411-E-20_snr0_pitch_0.66_fileid_500.wav,1.482257128,-5.701813698,-9.622400284,-9.870428085,0.882124185,1.704633951,0.029679835,0.011045707,0.179558441,0,7691.495117,0.156454802
4,clean_fileid_0_1-17808-A-12-2-108767-B-9_snr4_pitch_0.13_fileid_8836.wav,2.231179714,-7.954208374,-8.828634262,-10.07644176,0.958654818,1.152343273,0.026639663,0.00597572,0.127397135,4,5693.78125,0.15059042
5,clean_fileid_0_1-18527-B-44-5-243783-A-44_snr15_pitch_-0.83_fileid_7636.wav,3.261245251,-14.98912048,-19.41082382,-20.09768295,0.991981498,0.573425889,0.002095665,0.001136911,0.084757648,15,5057.727539,0.144607067
6,clean_fileid_0_1-19898-A-41-2-118624-A-30_snr10_pitch_0.92_fileid_9999.wav,2.448163033,-10.79845619,-14.00806046,-14.21831894,0.970417602,0.707129061,0.025992738,0.007218617,0.126395047,10,5541.778809,0.178524017
7,clean_fileid_0_1-211527-C-20-1-49409-B-8_snr25_pitch_0.14_fileid_3375.wav,3.633882523,-21.13466072,-27.44573784,-27.53672409,0.994376932,0.3650451,0.000430829,0.000339619,0.070044301,25,4993.439453,0.15857625
8,clean_fileid_0_1-21189-A-10-1-7974-B-49_snr9_pitch_0.48_fileid_8943.wav,2.150352716,-10.34345722,-14.49042416,-14.6198597,0.924240142,0.995378017,0.00232036,0.00174538,0.103885785,9,6192.808105,0.175563812
9,clean_fileid_0_1-27166-A-35-1-68628-A-27_snr-10_pitch_0.17_fileid_2007.wav,1.202942967,-2.733443022,-3.272120953,-3.445019245,0.727258329,2.311304331,0.001754667,0.001344372,0.075883627,-10,7279.882813,0.140623808
10,clean_fileid_0_1-28135-A-11-4-189838-A-22_snr11_pitch_-0.87_fileid_10967.wav,2.098807573,-10.40487671,-14.46547508,-14.61916351,0.945539622,1.099839687,0.003846341,0.002260948,0.123548381,11,6081.142578,0.158576488
11,clean_fileid_0_1-34119-B-1-5-172639-A-5_snr27_pitch_-0.62_fileid_10118.wav,4.056641102,-22.5496769,-27.77540207,-27.99175262,0.996250395,0.153700694,0.00050292,0.000283447,0.050884228,27,4674.765137,0.142619371
12,clean_fileid_0_1-38559-A-14-2-50774-A-23_snr8_pitch_-0.36_fileid_12931.wav,3.274938345,-13.44909286,-16.65782356,-17.97057533,0.977983807,0.48045665,0.013865913,0.003885355,0.100600958,8,5167.329102,0.14860487
13,clean_fileid_0_1-39937-A-28-4-183882-A-28_snr-5_pitch_0.59_fileid_1149.wav,1.237525344,-2.417726278,-2.821965218,-2.932957649,0.820310622,2.078404427,0.003205158,0.002125504,0.091337822,-5,6587.459961,0.143614531
14,clean_fileid_0_1-40621-A-28-3-161010-A-43_snr-7_pitch_0.35_fileid_8683.wav,1.249701023,-1.515086412,-2.566574574,-2.809498072,0.768395683,2.137051344,0.004490163,0.002966051,0.095443673,-7,6873.65918,0.152593374
15,clean_fileid_0_1-40730-A-1-4-144083-B-16_snr14_pitch_0.4_fileid_575.wav,3.209277153,-15.60943222,-19.09946251,-19.21985626,0.983407509,0.508098841,0.000886915,0.000579548,0.06465254,14,5056.358398,0.144613504
16,clean_fileid_0_1-4211-A-12-3-197435-A-22_snr13_pitch_0.8_fileid_4802.wav,3.242093563,-14.75021839,-18.21539688,-18.7428875,0.987861895,0.444032073,0.001349396,0.000804019,0.068815403,13,5014.708008,0.15258956
17,clean_fileid_0_1-51805-A-33-4-181955-C-3_snr2_pitch_-0.55_fileid_8013.wav,1.814914823,-8.986804962,-12.10009575,-12.51020908,0.923300443,1.193312049,0.004324269,0.0024256,0.102596343,2,6447.899414,0.144613028
18,clean_fileid_0_1-52290-A-30-1-51805-B-33_snr14_pitch_0.36_fileid_2858.wav,3.260786533,-18.1724472,-21.24266624,-21.30236816,0.984516067,0.41919896,0.000343845,0.000247389,0.051290635,14,5218.667969,0.149819136
19,clean_fileid_0_1-52323-A-24-3-154926-B-40_snr21_pitch_0.5_fileid_3670.wav,3.594554186,-18.77926636,-22.70516396,-22.8693676,0.992400778,0.313478619,0.000800561,0.000436444,0.059124231,21,4799.234863,0.153589249
20,clean_fileid_0_1-60997-A-20-2-102414-E-17_snr0_pitch_0.83_fileid_3392.wav,1.809931755,-8.286314011,-12.77057457,-12.93174648,0.906832607,1.19364357,0.012026574,0.005771962,0.128888488,0,7407.750977,0.149600506
21,clean_fileid_0_1-64398-A-41-2-154688-A-31_snr-3_pitch_0.74_fileid_7797.wav,1.593535304,0.16240406,1.10013628,1.107166171,0.813766071,1.418801427,0.569676578,0.062098369,0.15017803,-3,5985.9375,0.155536413
22,clean_fileid_0_1-64398-B-41-3-151081-B-20_snr12_pitch_-0.93_fileid_8353.wav,2.65241313,-12.44742203,-15.61784363,-15.96188545,0.970996549,0.767537355,0.004796504,0.001957974,0.100297205,12,5498.285645,0.146054983
23,clean_fileid_0_1-977-A-39-5-248341-C-6_snr4_pitch_-0.23_fileid_6761.wav,2.403771639,-12.2155714,-15.40639782,-15.61528969,0.93821248,0.596119106,0.002405389,0.00134144,0.066787295,4,5325.906738,0.14646101
24,clean_fileid_0_2-109371-A-16-3-136288-A-0_snr1_pitch_0.17_fileid_1884.wav,1.691939831,-6.167383671,-8.606695175,-8.922897339,0.904460551,1.377156973,0.064763837,0.015165742,0.166965768,1,5874.3125,0.14960289
25,clean_fileid_0_2-114587-A-0-2-118964-A-0_snr12_pitch_0.04_fileid_13024.wav,2.872022629,-13.63128662,-18.55712318,-18.68437195,0.965394343,0.421612769,0.003916888,0.002062384,0.079952218,12,5219.343262,0.13962698
26,clean_fileid_0_2-119748-A-38-3-146697-A-43_snr18_pitch_0.83_fileid_1165.wav,3.875426531,-20.33771515,-24.13759041,-24.80212784,0.997442949,0.227739006,0.002482863,0.000824575,0.06294781,18,4874.02002,0.14696455
27,clean_fileid_0_2-120218-A-30-4-251645-B-49_snr-10_pitch_-0.72_fileid_6275.wav,1.354856491,-4.987570763,-5.22338438,-5.605409145,0.837761587,1.661128879,0.001597608,0.001101497,0.068697661,-10,6158.61084,0.138630629
28,clean_fileid_0_2-121909-A-35-1-72695-A-26_snr12_pitch_-0.81_fileid_443.wav,2.872973442,-13.94292259,-15.67402935,-16.01070404,0.988771623,0.576170385,0.016818011,0.00339234,0.097675852,12,5095.505371,0.164598227
29,clean_fileid_0_2-122763-B-29-1-18631-A-23_snr17_pitch_0.43_fileid_4334.wav,3.328081131,-17.6097641,-20.19361496,-20.402565,0.990005298,0.326782286,0.00444412,0.00120545,0.070998348,17,5052.685547,0.140610456
30,clean_fileid_0_2-135649-A-45-3-136288-A-0_snr2_pitch_0.03_fileid_14296.wav,1.532424808,-6.081359863,-8.344360352,-8.73731041,0.906858551,1.533897281,0.080406293,0.01732219,0.186040595,2,6492.118652,0.145609856
31,clean_fileid_0_2-141563-A-39-4-167571-A-26_snr12_pitch_-0.55_fileid_1244.wav,2.902522564,-14.40702248,-17.74775314,-17.91639328,0.964624423,0.570568919,0.000745921,0.000564311,0.063276008,12,5259.200684,0.133651972
32,clean_fileid_0_2-155801-A-11-3-149042-A-24_snr28_pitch_-0.67_fileid_9016.wav,3.792384863,-21.42516136,-26.85261154,-27.20218468,0.997155521,0.238634661,0.001340674,0.000635545,0.076295167,28,4840.862793,0.152596235
33,clean_fileid_0_2-52001-B-28-1-47819-C-5_snr-5_pitch_0.07_fileid_5203.wav,1.435059547,-4.829882622,-5.436133385,-5.603901863,0.868217111,1.633018494,0.002018658,0.001398675,0.085350089,-5,6421.394531,0.143616676
34,clean_fileid_0_2-54086-A-43-2-118104-A-21_snr13_pitch_-0.7_fileid_5499.wav,3.522459745,-15.64476395,-20.96606255,-21.25139236,0.984854437,0.308350086,0.005311689,0.002403324,0.073551469,13,5082.668945,0.146329641
35,clean_fileid_0_2-65750-A-1-4-177243-A-32_snr3_pitch_-0.93_fileid_8603.wav,2.940878868,-13.34986687,-17.81542015,-18.01557922,0.971695168,0.538932025,0.00260707,0.001498253,0.071892172,3,5058.450684,0.149352789
36,clean_fileid_0_2-72677-A-18-3-150979-C-40_snr-6_pitch_-0.02_fileid_6929.wav,1.146271348,-1.138704896,-2.08621788,-2.398925781,0.799387078,2.271515846,0.143419459,0.026404055,0.181784987,-6,6637.072266,0.157568455
