,noisy,pesq_wb,apc-snr,stft_snr,time_sisnr_,stoi_score,pmsqe_score,mse,apc-mse,stft_diff,snr,log_mse,time
0,clean_fileid_0_1-155858-C-25-2-50666-A-20_snr7_pitch_-0.8_fileid_6154.wav,3.120126009,-16.97162056,-19.25064278,-19.66766739,0.984254552,0.454824001,0.000373481,0.000254749,0.056285582,7,5268.515625,0.134637833
1,clean_fileid_0_1-15689-A-4-3-151255-A-28_snr4_pitch_0.7_fileid_5991.wav,2.855352879,-14.99816132,-17.81412125,-18.11483192,0.971689079,0.46548292,0.000556159,0.000422618,0.058424305,4,5371.458496,0.142974377
2,clean_fileid_0_1-16746-A-15-5-216370-B-41_snr2_pitch_-0.17_fileid_14052.wav,1.7815516,-6.978175163,-9.536358833,-9.773498535,0.889366542,0.982401907,0.060191128,0.013983396,0.122116357,2,6027.233887,0.151599407
3,clean_fileid_0_1-17367-A-10-5-198411-E-20_snr0_pitch_0.66_fileid_500.wav,1.681584239,-6.217449188,-10.10441303,-10.37109947,0.897210118,1.319271445,0.027044293,0.01005435,0.171163291,0,7529.89209,0.154556274
4,clean_fileid_0_1-17808-A-12-2-108767-B-9_snr4_pitch_0.13_fileid_8836.wav,2.597121477,-10.80931568,-13.86098671,-14.39448833,0.969585476,0.768282294,0.008556246,0.003182781,0.119495817,4,5894.948242,0.146506071
5,clean_fileid_0_1-18527-B-44-5-243783-A-44_snr15_pitch_-0.83_fileid_7636.wav,3.427357674,-16.68033791,-20.87282372,-21.87599182,0.992622572,0.391718596,0.001504041,0.000777378,0.080460481,15,4918.541016,0.157580853
6,clean_fileid_0_1-19898-A-41-2-118624-A-30_snr10_pitch_0.92_fileid_9999.wav,2.737402678,-11.25744915,-14.16874981,-14.40190411,0.976625445,0.565641463,0.025161257,0.006538508,0.118079081,10,5405.237793,0.139626741
7,clean_fileid_0_1-211527-C-20-1-49409-B-8_snr25_pitch_0.14_fileid_3375.wav,3.966032267,-22.35551643,-28.38797379,-28.47888947,0.997128757,0.230301976,0.000347293,0.000256771,0.06503354,25,4788.121094,0.170538664
8,clean_fileid_0_1-21189-A-10-1-7974-B-49_snr9_pitch_0.48_fileid_8943.wav,2.252510309,-10.70267487,-14.82952309,-14.95959473,0.936553512,0.835773706,0.002149913,0.001616489,0.098722637,9,5877.946777,0.149596453
9,clean_fileid_0_1-27166-A-35-1-68628-A-27_snr-10_pitch_0.17_fileid_2007.wav,1.251860142,-2.191071987,-2.428302288,-2.570204496,0.727061879,2.043702602,0.002036978,0.001475501,0.073239356,-10,7659.161133,0.157580853
10,clean_fileid_0_1-28135-A-11-4-189838-A-22_snr11_pitch_-0.87_fileid_10967.wav,2.162222624,-10.65052795,-14.21330261,-14.40688324,0.952597237,0.877362013,0.004105794,0.002150511,0.118139148,11,5991.338867,0.157537699
11,clean_fileid_0_1-34119-B-1-5-172639-A-5_snr27_pitch_-0.62_fileid_10118.wav,4.220858574,-23.44761848,-28.05717278,-28.44004822,0.997805487,0.094802454,0.000471274,0.000229957,0.041661434,27,4496.007813,0.147607565
12,clean_fileid_0_1-38559-A-14-2-50774-A-23_snr8_pitch_-0.36_fileid_12931.wav,3.539731741,-15.21301079,-21.15945053,-21.61331558,0.980730568,0.396014601,0.004965659,0.002616833,0.096961789,8,4995.231445,0.166555643
13,clean_fileid_0_1-39937-A-28-4-183882-A-28_snr-5_pitch_0.59_fileid_1149.wav,1.248744607,-2.774667501,-3.06343317,-3.164328337,0.814189626,1.755903482,0.003064765,0.001995636,0.085054465,-5,6699.097656,0.175527573
14,clean_fileid_0_1-40621-A-28-3-161010-A-43_snr-7_pitch_0.35_fileid_8683.wav,1.193675637,-1.205595493,-1.93838048,-2.154688358,0.760466266,1.915561914,0.004945709,0.003115593,0.091116026,-7,7358.265137,0.176527739
15,clean_fileid_0_1-40730-A-1-4-144083-B-16_snr14_pitch_0.4_fileid_575.wav,3.472635984,-16.42560768,-19.80578995,-19.97768211,0.986849876,0.368457496,0.000754977,0.000481873,0.056586325,14,4726.754883,0.149570227
16,clean_fileid_0_1-4211-A-12-3-197435-A-22_snr13_pitch_0.8_fileid_4802.wav,3.386648655,-15.75952435,-18.98149681,-19.55995369,0.989499831,0.328598887,0.001137171,0.000641832,0.06149599,13,4956.34082,0.15561676
17,clean_fileid_0_1-51805-A-33-4-181955-C-3_snr2_pitch_-0.55_fileid_8013.wav,2.231414557,-9.661708832,-12.46165371,-12.96468735,0.946707944,0.910905659,0.004008036,0.00211044,0.097518824,2,5967.041992,0.143648863
18,clean_fileid_0_1-52290-A-30-1-51805-B-33_snr14_pitch_0.36_fileid_2858.wav,3.319114447,-19.00703239,-22.03183174,-22.19337463,0.989242392,0.341204703,0.000287002,0.000204495,0.044453666,14,4978.812012,0.141624689
19,clean_fileid_0_1-52323-A-24-3-154926-B-40_snr21_pitch_0.5_fileid_3670.wav,3.645877361,-18.86213684,-22.75139809,-22.8831501,0.992597468,0.252388984,0.000791784,0.000427874,0.055673558,21,4722.024414,0.159606218
20,clean_fileid_0_1-60997-A-20-2-102414-E-17_snr0_pitch_0.83_fileid_3392.wav,2.044028521,-8.999416351,-13.20034885,-13.44736958,0.922803473,0.886119723,0.01101972,0.005001246,0.122439377,0,6770.026367,0.144613504
21,clean_fileid_0_1-64398-A-41-2-154688-A-31_snr-3_pitch_0.74_fileid_7797.wav,1.719072342,0.135203287,1.069440842,1.077186108,0.808790923,1.333578229,0.551262796,0.060688581,0.147329286,-3,5941.854492,0.144623518
22,clean_fileid_0_1-64398-B-41-3-151081-B-20_snr12_pitch_-0.93_fileid_8353.wav,3.112934828,-13.03107738,-15.85258579,-16.38681984,0.979423687,0.5431422,0.004577877,0.001725225,0.095123678,12,5205.597656,0.150597334
23,clean_fileid_0_1-977-A-39-5-248341-C-6_snr4_pitch_-0.23_fileid_6761.wav,2.683807611,-11.90470791,-14.46280098,-14.62670517,0.949764049,0.48826316,0.00296746,0.001434126,0.060263094,4,5213.75,0.15440321
24,clean_fileid_0_2-109371-A-16-3-136288-A-0_snr1_pitch_0.17_fileid_1884.wav,1.829917669,-6.576442242,-8.577850342,-8.909486771,0.911294808,1.219343305,0.066465884,0.01402092,0.162579879,1,6178.294434,0.155613661
25,clean_fileid_0_2-114587-A-0-2-118964-A-0_snr12_pitch_0.04_fileid_13024.wav,3.296653748,-14.25503349,-18.62331009,-18.79977989,0.970042655,0.309644133,0.003876102,0.001800405,0.075438701,12,5094.337891,0.146265745
26,clean_fileid_0_2-119748-A-38-3-146697-A-43_snr18_pitch_0.83_fileid_1165.wav,3.968235731,-20.79146576,-24.14636612,-24.96507263,0.99772245,0.199805915,0.002479954,0.000743343,0.058339413,18,4859.08252,0.146641254
27,clean_fileid_0_2-120218-A-30-4-251645-B-49_snr-10_pitch_-0.72_fileid_6275.wav,1.407580018,-5.482462883,-5.890397549,-6.281106472,0.851064825,1.363871574,0.001410676,0.001009316,0.063979037,-10,6195.815918,0.149601936
28,clean_fileid_0_2-121909-A-35-1-72695-A-26_snr12_pitch_-0.81_fileid_443.wav,3.126127958,-14.1055975,-15.386549,-15.79213047,0.989563115,0.485752225,0.018077211,0.003286884,0.09625078,12,4980.986328,0.137663603
29,clean_fileid_0_2-122763-B-29-1-18631-A-23_snr17_pitch_0.43_fileid_4334.wav,3.487032413,-17.19530487,-19.67014503,-19.91875076,0.991429287,0.288272321,0.004997246,0.001322154,0.067208819,17,4888.415527,0.164592028
30,clean_fileid_0_2-135649-A-45-3-136288-A-0_snr2_pitch_0.03_fileid_14296.wav,1.621550798,-6.267339706,-8.268975258,-8.660341263,0.907237915,1.311181307,0.084237494,0.016878478,0.180300102,2,7185.928223,0.157578707
31,clean_fileid_0_2-141563-A-39-4-167571-A-26_snr12_pitch_-0.55_fileid_1244.wav,3.258082151,-15.29403591,-18.50686264,-18.6879425,0.975192713,0.398424596,0.000626784,0.000462291,0.052060086,12,4904.612305,0.155586004
32,clean_fileid_0_2-155801-A-11-3-149042-A-24_snr28_pitch_-0.67_fileid_9016.wav,4.067660332,-22.45161247,-27.93570518,-28.27066422,0.998343177,0.143413574,0.001043943,0.000501631,0.071341343,28,4706.670898,0.15358901
33,clean_fileid_0_2-52001-B-28-1-47819-C-5_snr-5_pitch_0.07_fileid_5203.wav,1.417927265,-4.98531723,-5.407264709,-5.560708046,0.874142133,1.415906787,0.002033932,0.001363019,0.080812603,-5,6911.246582,0.157578707
34,clean_fileid_0_2-54086-A-43-2-118104-A-21_snr13_pitch_-0.7_fileid_5499.wav,3.761384726,-16.47411156,-21.78936195,-22.14926529,0.987803862,0.235803142,0.004427296,0.001995897,0.066203147,13,4812.428711,0.149601698
35,clean_fileid_0_2-65750-A-1-4-177243-A-32_snr3_pitch_-0.93_fileid_8603.wav,2.993114233,-13.73570824,-17.88327789,-18.12105179,0.973061192,0.427651346,0.002573178,0.00137641,0.068225928,3,4882.557617,0.14960289
36,clean_fileid_0_2-72677-A-18-3-150979-C-40_snr-6_pitch_-0.02_fileid_6929.wav,1.147809744,-1.573802829,-1.845724702,-2.016891956,0.793967363,2.036231756,0.151037589,0.024686394,0.17203787,-6,7239.714844,0.136578321
37,clean_fileid_0_2-77346-A-46-2-79775-A-26_snr-2_pitch_0.46_fileid_10794.wav,2.212848425,-8.824222565,-13.15629768,-13.43490219,0.930287748,0.87811476,0.006841149,0.003827303,0.108889654,-2,6065.617188,0.157578468
38,clean_fileid_0_2-82071-A-27-4-126046-A-18_snr12_pitch_-0.19_fileid_873.wav,2.844542027,-12.69830894,-17.97046852,-18.12454987,0.971981832,0.584456265,0.010179726,0.004552034,0.144735798,12,5820.242676,0.151596308
39,clean_fileid_0_2-88724-A-38-2-119139-A-31_snr-7_pitch_0.07_fileid_13512.wav,1.96359098,-8.355619431,-8.520492554,-8.764778137,0.92146376,0.795099676,0.001238036,0.000776028,0.053280424,-7,5773.507324,0.173542023
40,clean_fileid_0_2-94230-A-27-2-118459-B-32_snr-4_pitch_-0.96_fileid_13710.wav,1.408045411,-5.822104454,-7.317471504,-8.07230854,0.865932904,1.534588456,0.005270658,0.002821348,0.094947197,-4,6995.630859,0.149527073
41,clean_fileid_0_2-96904-A-27-5-170338-B-41_snr-8_pitch_-0.93_fileid_9404.wav,1.359094977,-3.763254881,-4.063017845,-4.277485847,0.805026594,1.555286288,0.001869371,0.001318338,0.069320276,-8,6670.916504,0.161570787
42,clean_fileid_0_3-100024-B-27-3-83527-A-4_snr1_pitch_0.58_fileid_2557.wav,1.771248221,-8.093899727,-12.82710934,-13.0049305,0.924433906,1.218398929,0.013268978,0.006430198,0.153145,1,6861.661133,0.140656471
43,clean_fileid_0_3-102583-A-49-3-129338-A-13_snr16_pitch_-0.12_fileid_6459.wav,3.173901796,-15.32131386,-19.21639633,-19.46229172,0.984178396,0.447842389,0.005559708,0.001997499,0.111687087,16,5322.382324,0.154587269
44,clean_fileid_0_3-103051-C-19-4-125072-B-19_snr7_pitch_-0.27_fileid_6428.wav,2.638496399,-11.42625046,-12.9693327,-13.20615673,0.976638585,0.539880216,0.004849915,0.001743485,0.060749829,7,4696.969727,0.148636103
45,clean_fileid_0_3-103401-B-33-3-119120-B-48_snr-6_pitch_-0.98_fileid_11808.wav,1.42135334,-5.469686508,-7.712812424,-7.89989233,0.839099598,1.267784476,0.009905789,0.00449203,0.096561506,-6,6909.330566,0.15754509
46,clean_fileid_0_3-103401-C-33-4-133047-C-5_snr1_pitch_0.51_fileid_13728.wav,1.72282505,-7.217776299,-11.46482372,-11.66417694,0.899895148,1.187056899,0.008935349,0.004952354,0.132625148,1,6937.325195,0.156569481
47,clean_fileid_0_3-115387-A-47-1-155858-B-25_snr18_pitch_-0.49_fileid_6685.wav,3.251857758,-17.69864655,-20.31259918,-20.5952301,0.991947381,0.279317826,0.001093441,0.000472977,0.054500453,18,4605.713379,0.165559292
48,clean_fileid_0_3-117504-B-16-4-160999-A-10_snr21_pitch_-0.76_fileid_12150.wav,3.416407824,-18.21812057,-23.59403801,-23.73517036,0.988916212,0.366511971,0.000655077,0.00048347,0.081915841,21,5022.160156,0.148508549
49,clean_fileid_0_3-118657-B-41-1-54918-A-14_snr-2_pitch_-0.81_fileid_1836.wav,1.319408894,-4.426301003,-5.332385063,-5.403260231,0.901253263,1.777100921,0.067736425,0.013601487,0.152475357,-2,6884.03125,0.158844471
50,clean_fileid_0_3-128512-A-47-2-73027-A-10_snr-3_pitch_0.43_fileid_10251.wav,1.265381932,-2.637555122,-4.732021809,-5.065765858,0.814876773,1.73849535,0.040873252,0.012215084,0.15079686,-3,7308.375488,0.154548407
51,clean_fileid_0_3-130998-A-28-4-128659-A-33_snr24_pitch_0.97_fileid_3093.wav,4.004116535,-23.03380585,-25.9691124,-26.48571777,0.99902355,0.157002375,0.000120154,8.35E-05,0.03989666,24,4731.603516,0.152313471
52,clean_fileid_0_3-135469-A-35-5-260433-A-39_snr6_pitch_0.0_fileid_7429.wav,2.464286089,-10.79122543,-11.85276794,-12.10839462,0.976332115,0.734696865,0.040087637,0.006932184,0.121009618,6,5703.01416,0.159606218
53,clean_fileid_0_3-139958-A-37-3-123224-A-19_snr18_pitch_0.94_fileid_11465.wav,3.570076704,-16.62561226,-21.50281143,-21.70246887,0.994420706,0.322370768,0.00264155,0.001288365,0.07828626,18,5130.38623,0.142619371
54,clean_fileid_0_3-142601-A-21-4-102844-C-49_snr0_pitch_-0.32_fileid_7145.wav,1.776348233,-8.29628849,-9.943328857,-10.13689804,0.888941272,0.898135245,0.002768571,0.001623427,0.067538396,0,5806.568359,0.148602247
55,clean_fileid_0_3-145487-A-24-1-103999-A-30_snr23_pitch_-0.33_fileid_9639.wav,4.155889511,-21.29114151,-24.63898849,-24.88144875,0.996105773,0.074489027,0.000648592,0.000279234,0.02755226,23,4324.075684,0.152595282
