,noisy,pesq_wb,apc-snr,stft_snr,time_sisnr_,stoi_score,pmsqe_score,mse,apc-mse,stft_diff,snr,log_mse,time
0,clean_fileid_0_1-155858-C-25-2-50666-A-20_snr7_pitch_-0.8_fileid_6154.wav,2.594624758,-15.83609486,-18.10636902,-18.82767105,0.979154058,0.629627705,0.000489991,0.000329265,0.060291801,7,5619.213379,0.176533222
1,clean_fileid_0_1-15689-A-4-3-151255-A-28_snr4_pitch_0.7_fileid_5991.wav,2.5060215,-14.35066605,-17.20903206,-18.04860497,0.961818845,0.64987874,0.000651328,0.000490208,0.064051963,4,5838.939453,0.223403931
2,clean_fileid_0_1-16746-A-15-5-216370-B-41_snr2_pitch_-0.17_fileid_14052.wav,1.770759821,-6.646364212,-9.101716042,-9.834661484,0.892096793,1.250173569,0.065217339,0.014958255,0.134048805,2,6334.231934,0.162620306
3,clean_fileid_0_1-17367-A-10-5-198411-E-20_snr0_pitch_0.66_fileid_500.wav,1.565150857,-5.820469856,-9.807172775,-10.5283947,0.892573853,1.728108287,0.028569246,0.010812662,0.177899837,0,7886.037598,0.175525665
4,clean_fileid_0_1-17808-A-12-2-108767-B-9_snr4_pitch_0.13_fileid_8836.wav,2.407013893,-10.25725365,-12.62211609,-13.8322525,0.962040656,1.015643954,0.011222663,0.00357668,0.123579398,4,5874.888184,0.161572695
5,clean_fileid_0_1-18527-B-44-5-243783-A-44_snr15_pitch_-0.83_fileid_7636.wav,3.305733204,-16.5780201,-20.72205353,-22.298172,0.993003124,0.490396678,0.001608907,0.000799418,0.083030187,15,5080.875977,0.166553974
6,clean_fileid_0_1-19898-A-41-2-118624-A-30_snr10_pitch_0.92_fileid_9999.wav,2.674490213,-11.42282581,-14.33094025,-15.19127846,0.975595676,0.682830155,0.024387147,0.006314178,0.12537159,10,5484.707031,0.160570621
7,clean_fileid_0_1-211527-C-20-1-49409-B-8_snr25_pitch_0.14_fileid_3375.wav,3.628881216,-21.32877731,-27.49555779,-27.73893547,0.994212967,0.322853237,0.000475196,0.00032977,0.071284175,25,5091.797852,0.162564278
8,clean_fileid_0_1-21189-A-10-1-7974-B-49_snr9_pitch_0.48_fileid_8943.wav,2.154289722,-10.57167053,-14.67909908,-15.04991531,0.932845508,0.964173555,0.002237538,0.001662957,0.100741617,9,6294.498047,0.16954875
9,clean_fileid_0_1-27166-A-35-1-68628-A-27_snr-10_pitch_0.17_fileid_2007.wav,1.164808869,-1.992013693,-2.516885757,-2.914964199,0.710967004,2.564967871,0.001969852,0.001497823,0.074346222,-10,8412.876953,0.225397348
10,clean_fileid_0_1-28135-A-11-4-189838-A-22_snr11_pitch_-0.87_fileid_10967.wav,2.086754799,-10.1832571,-14.01798725,-14.69390965,0.948074931,1.066891074,0.004295861,0.002372941,0.121326298,11,6204.48291,0.172512054
