,noisy,pesq_wb,apc-snr,stft_snr,time_sisnr_,stoi_score,pmsqe_score,mse,apc-mse,stft_diff,snr,log_mse,time
0,clean_fileid_0_1-155858-C-25-2-50666-A-20_snr7_pitch_-0.8_fileid_6154.wav,2.344184637,-15.06089211,-17.3174057,-17.95106125,0.980087419,0.831604779,0.000578949,0.000390837,0.06060195,7,5843.605469,0.210423708
1,clean_fileid_0_1-15689-A-4-3-151255-A-28_snr4_pitch_0.7_fileid_5991.wav,2.346904278,-12.48362637,-14.91572762,-15.27984428,0.975814863,0.847894371,0.001068124,0.000739997,0.06675753,4,6052.071289,0.180516005
2,clean_fileid_0_1-16746-A-15-5-216370-B-41_snr2_pitch_-0.17_fileid_14052.wav,1.275154471,-3.268965244,-6.504031181,-6.939127445,0.902679738,1.782447457,0.110936888,0.029962938,0.18633385,2,8494.430664,0.59839201
3,clean_fileid_0_1-17367-A-10-5-198411-E-20_snr0_pitch_0.66_fileid_500.wav,1.210365534,-3.381685257,-7.901434422,-8.414491653,0.897154803,2.386254072,0.042344827,0.017896069,0.223864615,0,8909.608398,0.267271757
4,clean_fileid_0_1-17808-A-12-2-108767-B-9_snr4_pitch_0.13_fileid_8836.wav,1.949437141,-6.119746208,-5.605599403,-6.887082577,0.968163045,1.755748391,0.054518152,0.008979979,0.133092105,4,6496.97168,0.346053123
5,clean_fileid_0_1-18527-B-44-5-243783-A-44_snr15_pitch_-0.83_fileid_7636.wav,3.12362051,-12.58992767,-15.98642445,-16.3400135,0.992943474,0.850649714,0.004553113,0.001951086,0.087235779,15,5646.816895,0.254320621
6,clean_fileid_0_1-19898-A-41-2-118624-A-30_snr10_pitch_0.92_fileid_9999.wav,2.214701653,-10.35394573,-13.14972401,-13.57662296,0.977895844,0.98482722,0.031421814,0.007962196,0.137440786,10,6353.481934,0.254317284
7,clean_fileid_0_1-211527-C-20-1-49409-B-8_snr25_pitch_0.14_fileid_3375.wav,3.364300251,-18.11013603,-21.89777374,-22.44659805,0.995747366,0.435593247,0.001544773,0.000675761,0.070710652,25,5496.222656,0.337099075
8,clean_fileid_0_1-21189-A-10-1-7974-B-49_snr9_pitch_0.48_fileid_8943.wav,1.752464771,-8.774599075,-13.01722527,-13.34588051,0.945680408,1.53969121,0.003204762,0.002453843,0.127140358,9,7294.195801,0.322139025
9,clean_fileid_0_1-27166-A-35-1-68628-A-27_snr-10_pitch_0.17_fileid_2007.wav,1.085187912,0.843900681,0.613094389,0.081621967,0.734317882,2.896445513,0.003417423,0.002414848,0.103067942,-10,9248.908203,0.456110716
10,clean_fileid_0_1-28135-A-11-4-189838-A-22_snr11_pitch_-0.87_fileid_10967.wav,1.726271152,-9.510923386,-13.26524734,-13.61982536,0.943379475,1.639974475,0.005038042,0.002727135,0.13449128,11,7508.519043,0.304186583
11,clean_fileid_0_1-34119-B-1-5-172639-A-5_snr27_pitch_-0.62_fileid_10118.wav,3.74359417,-18.85285568,-21.72475433,-22.1814518,0.997347648,0.206274748,0.002020172,0.000657452,0.048343118,27,5218.123535,0.298202753
12,clean_fileid_0_1-38559-A-14-2-50774-A-23_snr8_pitch_-0.36_fileid_12931.wav,2.985503197,-8.067400932,-7.721327782,-9.494312286,0.982057063,0.816855669,0.106508054,0.013204704,0.106190711,8,5869.656738,0.284258366
13,clean_fileid_0_1-39937-A-28-4-183882-A-28_snr-5_pitch_0.59_fileid_1149.wav,1.13647747,-0.753865004,-1.114397287,-1.473736525,0.841725525,2.703656197,0.00459011,0.003005238,0.112842448,-5,8358.287109,0.486695051
14,clean_fileid_0_1-40621-A-28-3-161010-A-43_snr-7_pitch_0.35_fileid_8683.wav,1.093684435,1.39115715,0.250164866,-0.300111413,0.766094156,2.803802967,0.007260778,0.004903656,0.138779581,-7,10024.73535,0.27327013
15,clean_fileid_0_1-40730-A-1-4-144083-B-16_snr14_pitch_0.4_fileid_575.wav,3.135843515,-14.83103275,-18.05725098,-18.42188263,0.988150281,0.470066875,0.001126679,0.00068861,0.060711868,14,5321.739746,0.272278786
16,clean_fileid_0_1-4211-A-12-3-197435-A-22_snr13_pitch_0.8_fileid_4802.wav,2.535965681,-11.33686924,-14.10614395,-14.54230404,0.989258561,0.858694553,0.003420908,0.001731596,0.071757197,13,5695.23877,0.234386921
17,clean_fileid_0_1-51805-A-33-4-181955-C-3_snr2_pitch_-0.55_fileid_8013.wav,1.554393053,-5.875256062,-7.980285645,-9.127165794,0.945930604,1.749508977,0.010504944,0.004734697,0.11472366,2,7005.827637,0.217419147
18,clean_fileid_0_1-52290-A-30-1-51805-B-33_snr14_pitch_0.36_fileid_2858.wav,2.90002346,-16.66588974,-19.72439575,-20.10058594,0.988690207,0.599292278,0.000485938,0.000347769,0.047520746,14,5577.314453,0.25207448
19,clean_fileid_0_1-52323-A-24-3-154926-B-40_snr21_pitch_0.5_fileid_3670.wav,3.453027248,-16.89837646,-20.14130402,-20.51160812,0.993352146,0.340589374,0.00144372,0.000667933,0.060551569,21,5295.197266,0.210139751
20,clean_fileid_0_1-60997-A-20-2-102414-E-17_snr0_pitch_0.83_fileid_3392.wav,1.454375267,-5.775835991,-9.74942112,-10.24676323,0.916112549,1.516936302,0.023198428,0.009808659,0.152373686,0,8130.051758,0.322113276
21,clean_fileid_0_1-64398-A-41-2-154688-A-31_snr-3_pitch_0.74_fileid_7797.wav,1.522534847,1.110276699,1.691071749,1.652283788,0.823372549,1.620311141,0.667444766,0.078978956,0.191603452,-3,7401.056152,0.205454111
22,clean_fileid_0_1-64398-B-41-3-151081-B-20_snr12_pitch_-0.93_fileid_8353.wav,2.567745209,-11.6786747,-14.20897675,-14.82784748,0.977024506,1.016459584,0.006640847,0.002313254,0.104643337,12,6086.919922,0.230387688
23,clean_fileid_0_1-977-A-39-5-248341-C-6_snr4_pitch_-0.23_fileid_6761.wav,2.465741158,-11.53264809,-14.70817375,-15.19948101,0.958736118,0.753692687,0.002813539,0.001554482,0.067009158,4,6003.974609,0.241354942
24,clean_fileid_0_2-109371-A-16-3-136288-A-0_snr1_pitch_0.17_fileid_1884.wav,1.7051301,-4.331849575,-5.278496265,-6.52713728,0.922136389,1.887882113,0.127733126,0.022140242,0.175286174,1,6549.34082,0.205931664
25,clean_fileid_0_2-114587-A-0-2-118964-A-0_snr12_pitch_0.04_fileid_13024.wav,2.824903965,-12.59764481,-16.36812019,-16.68223572,0.970695012,0.438590109,0.006424775,0.002588253,0.079439379,12,5671.963867,0.274410486
26,clean_fileid_0_2-119748-A-38-3-146697-A-43_snr18_pitch_0.83_fileid_1165.wav,3.815476894,-14.98109436,-17.69495201,-18.33150864,0.997473957,0.405550569,0.010784397,0.002771189,0.071030751,18,5680.291016,0.209265709
27,clean_fileid_0_2-120218-A-30-4-251645-B-49_snr-10_pitch_-0.72_fileid_6275.wav,1.209395409,-2.176430464,-1.283676386,-2.344932079,0.849890347,2.233981371,0.003657556,0.001954972,0.081641078,-10,7726.983887,0.199468851
28,clean_fileid_0_2-121909-A-35-1-72695-A-26_snr12_pitch_-0.81_fileid_443.wav,2.935632706,-12.54575634,-13.8223629,-14.0009203,0.990234275,0.598841906,0.025424138,0.00461734,0.102579243,12,5759.230957,0.264002562
29,clean_fileid_0_2-122763-B-29-1-18631-A-23_snr17_pitch_0.43_fileid_4334.wav,3.086719513,-14.47443008,-16.87773323,-17.11536598,0.991087061,0.357073635,0.009414525,0.002437267,0.077458382,17,5567.11084,0.239360571
30,clean_fileid_0_2-135649-A-45-3-136288-A-0_snr2_pitch_0.03_fileid_14296.wav,1.465978503,-4.871227741,-6.585453987,-7.25869751,0.914185562,2.103511333,0.113181837,0.021772819,0.202174097,2,7302.21582,0.289227486
31,clean_fileid_0_2-141563-A-39-4-167571-A-26_snr12_pitch_-0.55_fileid_1244.wav,2.388372421,-12.50979519,-15.54684448,-16.02065468,0.967031387,0.761451662,0.001223261,0.000857293,0.059657168,12,5710.624023,0.219145298
32,clean_fileid_0_2-155801-A-11-3-149042-A-24_snr28_pitch_-0.67_fileid_9016.wav,3.593712807,-18.3730545,-20.95059967,-21.30818367,0.998338573,0.305021077,0.005199176,0.001273335,0.079781063,28,5639.258301,0.212430954
33,clean_fileid_0_2-52001-B-28-1-47819-C-5_snr-5_pitch_0.07_fileid_5203.wav,1.24500525,-3.344470024,-3.96779561,-4.420491219,0.881945753,2.397019148,0.002612703,0.001813395,0.098083973,-5,7498.840332,0.229386568
34,clean_fileid_0_2-54086-A-43-2-118104-A-21_snr13_pitch_-0.7_fileid_5499.wav,3.297339201,-13.74474525,-16.81428909,-17.28303528,0.989186652,0.446237743,0.013708018,0.003668605,0.078617901,13,5815.461914,0.234377384
35,clean_fileid_0_2-65750-A-1-4-177243-A-32_snr3_pitch_-0.93_fileid_8603.wav,3.027372122,-12.75776386,-16.82839584,-17.18439674,0.975015714,0.546149552,0.003261534,0.001706994,0.075236812,3,5704.975098,0.243349314
36,clean_fileid_0_2-72677-A-18-3-150979-C-40_snr-6_pitch_-0.02_fileid_6929.wav,1.139210463,0.281203479,-0.980353236,-1.520153403,0.827067703,2.523566484,0.170030892,0.033732001,0.209630847,-6,8435.320313,0.282241821
37,clean_fileid_0_2-77346-A-46-2-79775-A-26_snr-2_pitch_0.46_fileid_10794.wav,1.890761852,-7.353400707,-11.60250664,-12.05125999,0.930262605,1.368285894,0.009535839,0.005210896,0.126279965,-2,6620.091797,0.231380939
38,clean_fileid_0_2-82071-A-27-4-126046-A-18_snr12_pitch_-0.19_fileid_873.wav,1.88663578,-9.545769691,-14.42779732,-15.03243828,0.976289673,1.269498229,0.022515407,0.009062123,0.178330034,12,7448.243652,0.211279869
39,clean_fileid_0_2-88724-A-38-2-119139-A-31_snr-7_pitch_0.07_fileid_13512.wav,1.481995702,-2.827126026,0.516689181,-1.038355112,0.912612339,1.590680957,0.009305336,0.002622208,0.065611988,-7,6431.669922,0.251329422
40,clean_fileid_0_2-94230-A-27-2-118459-B-32_snr-4_pitch_-0.96_fileid_13710.wav,1.220090389,-3.290684462,-4.405142307,-5.150518894,0.870223152,2.139251947,0.010036995,0.004868978,0.124579139,-4,9328.323242,0.225512266
41,clean_fileid_0_2-96904-A-27-5-170338-B-41_snr-8_pitch_-0.93_fileid_9404.wav,1.162909031,1.961299062,3.631227016,3.413393974,0.793613836,2.301349401,0.008981088,0.004114088,0.118535489,-8,10663.25781,0.223399878
42,clean_fileid_0_3-100024-B-27-3-83527-A-4_snr1_pitch_0.58_fileid_2557.wav,1.322532892,-4.945088387,-9.630092621,-10.10020351,0.932840288,1.955136061,0.026282771,0.01242855,0.192495689,1,8573.897461,0.21841526
43,clean_fileid_0_3-102583-A-49-3-129338-A-13_snr16_pitch_-0.12_fileid_6459.wav,2.409065723,-13.4661665,-17.10036087,-17.47006989,0.98613076,0.920044899,0.00894969,0.003010643,0.124312319,16,6471.293457,0.202456951
44,clean_fileid_0_3-103051-C-19-4-125072-B-19_snr7_pitch_-0.27_fileid_6428.wav,2.159749508,-9.959435463,-11.60883331,-11.98787308,0.973624361,0.718709052,0.006519508,0.00238977,0.065771207,7,5175.893066,0.579448938
45,clean_fileid_0_3-103401-B-33-3-119120-B-48_snr-6_pitch_-0.98_fileid_11808.wav,1.318136692,-3.452721596,-6.651727676,-7.137270927,0.851905165,1.702526927,0.012225042,0.00672219,0.121293306,-6,8352.59668,0.258191347
46,clean_fileid_0_3-103401-C-33-4-133047-C-5_snr1_pitch_0.51_fileid_13728.wav,1.462697625,-5.424923897,-9.502417564,-10.05382061,0.905705032,1.871035218,0.013423188,0.007050986,0.15501903,1,7952.156738,0.202536821
47,clean_fileid_0_3-115387-A-47-1-155858-B-25_snr18_pitch_-0.49_fileid_6685.wav,3.257428169,-16.3401947,-18.75986099,-19.22651863,0.992487881,0.348838091,0.001563226,0.000642549,0.059253663,18,5155.178711,0.294214249
48,clean_fileid_0_3-117504-B-16-4-160999-A-10_snr21_pitch_-0.76_fileid_12150.wav,2.582878351,-16.25042343,-20.61888885,-20.94186401,0.988283013,0.878546894,0.001295436,0.000753697,0.094803274,21,6265.449707,0.252325058
49,clean_fileid_0_3-118657-B-41-1-54918-A-14_snr-2_pitch_-0.81_fileid_1836.wav,1.151014805,-1.796634674,-3.80984807,-4.097140789,0.898693213,2.328314543,0.094828174,0.023972705,0.202601105,-2,9194.026367,0.19712472
50,clean_fileid_0_3-128512-A-47-2-73027-A-10_snr-3_pitch_0.43_fileid_10251.wav,1.118591905,1.703866959,-0.692157209,-1.669931412,0.831513426,2.742948294,0.08139801,0.027158085,0.228834152,-3,10273.3877,0.191487551
